City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,panaba,21.2833,-88.2667,30.41,65,50,5.5,MX,1711540207
290,monticello,45.3055,-93.7941,-2.79,68,0,5.66,US,1711541034
291,usogorsk,63.4106,48.6872,-13.52,99,100,1.27,RU,1711506074
292,boumagueur,35.5052,5.5525,14.73,42,67,6.52,DZ,1711517459
293,nam som,17.7704,102.1895,28.99,58,99,0.9,TH,1711580926
294,kapoeta,4.7717,33.5903,28.71,49,79,4.06,SS,1711511195
295,saint-francois,46.4154,3.9054,11.69,50,0,4.12,FR,1711517585
296,mantua,45.1667,10.7833,11.7,79,99,2.24,IT,1711515973
297,tatarsk,55.219,75.9828,0.27,99,100,2.5,RU,1711586242
298,aleg,17.0481,-13.9209,34.96,12,53,4.43,MR,1711522436
299,trinity beach,-16.7888,145.6968,26.94,94,40,3.09,AU,1711570940
300,vila velha,-20.3297,-40.2925,28.97,80,40,5.14,BR,1711529215
301,haiku-pauwela,20.9219,-156.3051,23.36,81,40,7.72,US,1711556531
302,sinabang,2.4803,96.3801,27.22,81,98,3.08,ID,1711582533
303,gobabis,-22.45,18.9667,18.04,75,94,5.72,,1711515015
304,kroya,-7.6331,109.2461,24.1,94,99,1.13,ID,1711579574
305,hammerfest,70.6634,23.6821,-3.75,68,0,4.12,NO,1711511334
306,obidos,-1.9175,-55.5181,32.39,56,18,3.05,BR,1711532654
307,porto novo,6.4965,2.6036,29.69,73,72,5.04,BJ,1711518608
308,yen bai,21.7,104.8667,22.99,91,100,0.18,VN,1711580222
309,minas de marcona,-15.2119,-75.1103,23.5,59,2,4.38,PE,1711537511
310,dakhla,23.6848,-15.958,19.01,59,100,7.72,EH,1711522827
311,al hazm,16.1641,44.7769,24.78,48,37,3.07,YE,1711508368
312,geneina,13.45,22.45,31.23,10,37,3.03,SD,1711513760
313,lyantor,61.6195,72.1555,-9.65,90,100,6.75,RU,1711500577
314,bodo,67.28,14.405,1.02,64,40,4.63,NO,1711513950
315,baruun-urt,46.6806,113.2792,-11.19,56,89,8.75,MN,1711577644
316,swift current,50.2834,-107.8014,-0.57,56,83,5.43,CA,1711544228
317,mirnyy,62.5353,113.9611,-27.11,100,99,1.19,RU,1711576705
318,genhe,50.7833,121.5167,-0.89,96,100,5.41,CN,1711575525
319,st ives,50.2086,-5.4875,6.18,81,40,11.83,GB,1711519713
320,quellon,-43.1167,-73.6167,15.52,64,19,2.61,CL,1711537541
321,sirte,31.2089,16.5887,18.97,65,21,10.58,LY,1711514895
322,keetmanshoop,-26.5833,18.1333,24.51,57,71,4.63,,1711515266
323,namsos,64.4662,11.4957,5.03,65,0,5.66,NO,1711514897
324,leava,-14.3,-178.1667,29.14,70,100,1.75,WF,1711648640
325,cooma,-36.2333,149.1333,11.57,84,72,0.76,AU,1711570386
326,muynoq,43.7683,59.0214,10.3,67,100,5.53,UZ,1711504449
327,papao,-17.75,-149.55,28.82,81,98,8.67,PF,1711555409
328,scottburgh,-30.2867,30.7532,22.47,92,51,4.06,ZA,1711512283
329,tukrah,32.5341,20.5791,22.47,36,48,1.87,LY,1711513914
330,karatau,43.1667,70.4667,13.26,88,25,3.12,KZ,1711501721
331,villa gesell,-37.2639,-56.973,26.7,55,75,2.02,AR,1711533446
332,douentza,14.9951,-2.9517,37.0,15,88,3.42,ML,1711519833
333,andergrove,-21.0833,149.1833,23.53,96,92,1.55,AU,1711570158
334,ghanzi,-21.5667,21.7833,23.62,56,90,3.74,BW,1711514329
335,kapa'a,22.0752,-159.319,22.99,88,75,8.75,US,1711557236
336,shalqar,47.8333,59.6,9.0,65,100,5.92,KZ,1711504194
337,weyburn,49.6668,-103.8511,-5.88,33,11,2.06,CA,1711543304
338,bria,6.5423,21.9863,28.86,45,54,2.26,CF,1711513957
339,vadso,70.0744,29.7487,-6.91,73,0,2.57,NO,1711509961
340,rio preto da eva,-2.6994,-59.6997,33.23,58,80,1.05,BR,1711533667
341,al buraymi,24.2509,55.7931,18.68,55,0,1.54,OM,1711505610
342,flin flon,54.7682,-101.865,-7.74,64,11,3.07,CA,1711542625
343,chachersk,52.9164,30.9179,5.95,69,66,4.95,BY,1711510890
